pid,delay,cfmt_raw,sex,age_year,participant_race,lineup,lineup_race,lineup_type,chooser,lineup_accuracy,lineup_decision,confidence,decision_time_sec,cross_race,expression,justification,cat,celebrity,kept,expression_spellcheck,justification_spellcheck,express_num,just_num,log_rt,mad_rt,statement
17,Day,69,Male,41,White,WD3.P.LINE,White,TP,Yes,1,Target,60,18.613,No,A little unsure,"I know I saw a face that looked similar to this yesterday, but it's an indistinct look.",?,No,Yes,A little unsure,"I know I saw a face that looked similar to this yesterday, but it's an indistinct look.",FALSE,FALSE,2.923860261316196,1.4613928632057014,"A little unsure I know I saw a face that looked similar to this yesterday, but it's an indistinct look."
18,5Minute,59,Female,29,White,WC1.NP.LINE,White,TA,Yes,0,Foil,60,8.443,No,a little,this person looks familiar,F,No,Yes,a little,this person looks familiar,FALSE,FALSE,2.133337695687363,0.2712466178175429,a little this person looks familiar
18,5Minute,59,Female,29,White,WC2.NP.LINE,White,TA,Yes,0,Foil,40,11.848,No,somewhat,this person looks like one of the people in the photos,?,No,Yes,somewhat,this person looks like one of the people in the photos,FALSE,FALSE,2.4721590769654975,0.7813484318810449,somewhat this person looks like one of the people in the photos
18,5Minute,59,Female,29,White,WD1.P.LINE,White,TP,Yes,1,Target,80,6.633,No,reasonably certian,i immediately noticed that this individual looks familiar,F,No,Yes,reasonably certain,I immediately noticed that this individual looks familiar,FALSE,FALSE,1.892057190543419,-0.092005615,reasonably certain I immediately noticed that this individual looks familiar
18,5Minute,59,Female,29,White,WD2.P.LINE,White,TP,Yes,1,Target,60,9.042,No,somewhat,this individual looks familiar to me,F,No,Yes,somewhat,this individual looks familiar to me,FALSE,FALSE,2.2018803888724134,0.37443890161792964,somewhat this individual looks familiar to me
18,5Minute,59,Female,29,White,WD3.P.LINE,White,TP,Yes,1,Target,60,8.686,No,somewhat,this individual has a very similar face and haircut to one that i remember,Omany,No,Yes,somewhat,this individual has a very similar face and haircut to one that I remember,FALSE,FALSE,2.161712534,0.31396545834610456,somewhat this individual has a very similar face and haircut to one that I remember
19,5Minute,69,Female,33,White,WD1.P.LINE,White,TP,Yes,1,Target,100,9.953,No,I am 100% sure.,He was shown three times with a different shirt color and expression.,?,No,Yes,I am 100% sure.,He was shown three times with a different shirt color and expression.,TRUE,FALSE,2.2978740132639266,0.5189590666556999,I am 100% sure. He was shown three times with a different shirt color and expression.
19,5Minute,69,Female,33,White,WD3.P.LINE,White,TP,Yes,1,Target,80,12.372,No,I am 80% sure.,I believe it showed a picture of him with a different shirt color and expression.,U2,No,Yes,I am 80% sure.,I believe it showed a picture of him with a different shirt color and expression.,TRUE,FALSE,2.5154358548228233,0.8465024159908123,I am 80% sure. I believe it showed a picture of him with a different shirt color and expression.
20,Day,68,Female,23,White,WC1.NP.LINE,White,TA,Yes,0,Foil,60,6.354,No,about halfway,"looks familiar, not certain, though",F,No,Yes,about halfway,"looks familiar, not certain, though",TRUE,FALSE,1.8490845358473245,-0.156701736,"about halfway looks familiar, not certain, though"
20,Day,68,Female,23,White,WC2.NP.LINE,White,TA,Yes,0,Foil,60,10.121,No,about 50/50,The facial features seem familiar,F,No,Yes,about 50/50,The facial features seem familiar,TRUE,FALSE,2.3146124732067643,0.5441591256049365,about 50/50 The facial features seem familiar
20,Day,68,Female,23,White,WD1.P.LINE,White,TP,Yes,0,Foil,80,5.289,No,fairly,The hairstyle looks familiar,FO,No,Yes,fairly,The hairstyle looks familiar,FALSE,FALSE,1.6656291920838429,-0.432897127,fairly The hairstyle looks familiar
20,Day,68,Female,23,White,WD2.P.LINE,White,TP,Yes,1,Target,60,2.5,No,half certain,the facial features seem familiar,FO,No,Yes,half certain,the facial features seem familiar,TRUE,FALSE,0.9162907318741551,-1.561039945,half certain the facial features seem familiar
20,Day,68,Female,23,White,WD3.P.LINE,White,TP,Yes,1,Target,80,4.413,No,fairly certain,The haircut looks very familiar,FO,No,Yes,fairly certain,The haircut looks very familiar,FALSE,FALSE,1.4845547302874103,-0.705508056,fairly certain The haircut looks very familiar
21,5Minute,64,Female,30,White,WC1.P.LINE,White,TP,Yes,0,Foil,40,9.389,No,I am somewhat positive.,I think I recognize the facial hair and hairstyle.,Omany,No,Yes,I am somewhat positive.,I think I recognize the facial hair and hairstyle.,FALSE,FALSE,2.239538791,0.4311343182665122,I am somewhat positive. I think I recognize the facial hair and hairstyle.
21,5Minute,64,Female,30,White,WC2.P.LINE,White,TP,Yes,0,Foil,0,9.555,No,I am not certain at all.,"The face looks somewhat familiar, but I'm not sure.",F,No,Yes,I am not certain at all.,"The face looks somewhat familiar, but I'm not sure.",FALSE,FALSE,2.2570645776922365,0.45751971168495104,"I am not certain at all. The face looks somewhat familiar, but I'm not sure."
21,5Minute,64,Female,30,White,WD1.NP.LINE,White,TA,Yes,0,Foil,20,8.546,No,I'm not very certain.,The hairstyle looks familiar to me.,FO,No,Yes,I'm not very certain.,The hairstyle looks familiar to me.,FALSE,FALSE,2.145463337221833,0.28950199391005554,I'm not very certain. The hairstyle looks familiar to me.
21,5Minute,64,Female,30,White,WD2.NP.LINE,White,TA,Yes,0,Foil,20,2.884,No,I am somewhat certain.,The hairstyle and shape of face look familiar to me.,FO,No,Yes,I am somewhat certain.,The hairstyle and shape of face look familiar to me.,FALSE,FALSE,1.0591782194227026,-1.345920207,I am somewhat certain. The hairstyle and shape of face look familiar to me.
21,5Minute,64,Female,30,White,WD3.NP.LINE,White,TA,Yes,0,Foil,40,3.574,No,I am not very positive.,I think the nose and hairstyle look familiar.,FO,No,Yes,I am not very positive.,I think the nose and hairstyle look familiar.,FALSE,FALSE,1.2736854167372362,-1.022975681,I am not very positive. I think the nose and hairstyle look familiar.
23,5Minute,41,Male,32,White,WC1.P.LINE,White,TP,Yes,1,Target,60,8.101,No,This guy looks familiar too.,I think it's the goatee.,FO,No,Yes,This guy looks familiar too.,I think it's the goatee.,FALSE,FALSE,2.0919875108483543,0.208993155,This guy looks familiar too. I think it's the goatee.
23,5Minute,41,Male,32,White,WC2.P.LINE,White,TP,Yes,0,Foil,60,12.369,No,I feel a little more than halfway sure.,The nose looks familiar.,FO,No,Yes,I feel a little more than halfway sure.,The nose looks familiar.,TRUE,FALSE,2.5151933423928727,0.8461373090722818,I feel a little more than halfway sure. The nose looks familiar.
23,5Minute,41,Male,32,White,WC3.P.LINE,White,TP,Yes,1,Target,60,3.949,No,I think I might have seen this guy.,The eyes seem familiar.,FO,No,Yes,I think I might have seen this guy.,The eyes seem familiar.,FALSE,FALSE,1.3734623823045122,-0.872759626,I think I might have seen this guy. The eyes seem familiar.
23,5Minute,41,Male,32,White,WD1.NP.LINE,White,TA,Yes,0,Foil,20,6.946,No,I might have seen this guy before.,His face just looks a little familiar.,F,No,Yes,I might have seen this guy before.,His face just looks a little familiar.,FALSE,FALSE,1.9381659543218823,-0.022588024,I might have seen this guy before. His face just looks a little familiar.
24,Day,61,Female,44,White,WC1.P.LINE,White,TP,Yes,0,Foil,20,20.397,No,Not very certain.,The beard.,O1,No,Yes,Not very certain.,The beard.,FALSE,FALSE,3.0153878312124323,1.5991893011541318,Not very certain. The beard.
24,Day,61,Female,44,White,WC2.P.LINE,White,TP,Yes,0,Foil,20,40.297,No,Not very certain,Hard to tell them apart.,?,No,Yes,Not very certain,Hard to tell them apart.,FALSE,FALSE,3.6962770244943726,2.624280490379403,Not very certain Hard to tell them apart.
24,Day,61,Female,44,White,WC3.P.LINE,White,TP,Yes,0,Foil,60,19.273,No,I am fairly certain about my choice.,His eyes and ears stood out to me.,Omany,No,Yes,I am fairly certain about my choice.,His eyes and ears stood out to me.,FALSE,FALSE,2.9587051527169144,1.5138524873513253,I am fairly certain about my choice. His eyes and ears stood out to me.
24,Day,61,Female,44,White,WD1.NP.LINE,White,TA,Yes,0,Foil,60,10.698,No,Pretty certain.,His hair and face shape are familiar.,FO,No,Yes,Pretty certain.,His hair and face shape are familiar.,FALSE,FALSE,2.3700568081090583,0.62763159,Pretty certain. His hair and face shape are familiar.
24,Day,61,Female,44,White,WD2.NP.LINE,White,TA,Yes,0,Foil,40,28.246,No,I am fairly certain.,Because of his haircut and facial features.,Omany,No,Yes,I am fairly certain.,Because of his haircut and facial features.,FALSE,FALSE,3.340951854646872,2.089331919430617,I am fairly certain. Because of his haircut and facial features.
24,Day,61,Female,44,White,WD3.NP.LINE,White,TA,Yes,0,Foil,60,7.215,No,Pretty certain.,His hair stood out to me.,O1,No,Yes,Pretty certain.,His hair stood out to me.,FALSE,FALSE,1.9761621922258341,0.03461601,Pretty certain. His hair stood out to me.
25,5Minute,61,Male,26,White,WC2.NP.LINE,White,TA,Yes,0,Foil,60,12.698,No,"Almost positive, but not 100%",Looks familiar.,F,No,Yes,"Almost positive, but not 100%",Looks familiar.,TRUE,FALSE,2.5414445007482582,0.8856589102411232,"Almost positive, but not 100% Looks familiar."
25,5Minute,61,Male,26,White,WD2.P.LINE,White,TP,Yes,1,Target,100,1.017,No,Absolutely certain,Noticed him immediately,R,No,Yes,Absolutely certain,Noticed him immediately,FALSE,FALSE,0.016857117066422806,-2.915153776,Absolutely certain Noticed him immediately
25,5Minute,61,Male,26,White,WD3.P.LINE,White,TP,Yes,1,Target,80,3.461,No,Very certain,He looks super familiar,F,No,Yes,Very certain,He looks super familiar,FALSE,FALSE,1.241557564653207,-1.071344753,Very certain He looks super familiar
26,Day,54,Female,43,White,WC1.P.LINE,White,TP,Yes,0,Foil,20,8.831,No,Very uncertain.,This man has a smile on his face and I don't remember any of the men having a smile on their face. However something is familiar about this man's face.,?,No,Yes,Very uncertain.,This man has a smile on his face and I don't remember any of the men having a smile on their face. However something is familiar about this man's face.,FALSE,FALSE,2.178268258486665,0.3388904055394401,Very uncertain. This man has a smile on his face and I don't remember any of the men having a smile on their face. However something is familiar about this man's face.
26,Day,54,Female,43,White,WC2.P.LINE,White,TP,Yes,0,Foil,60,6.93,No,I am only a little certain,His face looks familiar however he had a different shirt yesterday,?,No,Yes,I am only a little certain,His face looks familiar however he had a different shirt yesterday,FALSE,FALSE,1.9358598132018119,-0.026059962,I am only a little certain His face looks familiar however he had a different shirt yesterday
26,Day,54,Female,43,White,WD2.NP.LINE,White,TA,Yes,0,Foil,0,11.312,No,Very uncertain.,All the men in the line up have the same look. Hair color and hairstyle are very similar. I am having real trouble deciding which one I saw yesterday,Omany,No,Yes,Very uncertain.,All the men in the line up have the same look. Hair color and hairstyle are very similar. I am having real trouble deciding which one I saw yesterday,FALSE,FALSE,2.425864109154217,0.7116505073478814,Very uncertain. All the men in the line up have the same look. Hair color and hairstyle are very similar. I am having real trouble deciding which one I saw yesterday
26,Day,54,Female,43,White,WD3.NP.LINE,White,TA,Yes,0,Foil,20,7.829,No,Not very certain at all.,All the faces look very similar to me. It is very difficult to remember which is the face I saw.,R,No,Yes,Not very certain at all.,All the faces look very similar to me. It is very difficult to remember which is the face I saw.,FALSE,FALSE,2.0578347879257772,0.15757560310481364,Not very certain at all. All the faces look very similar to me. It is very difficult to remember which is the face I saw.
27,Day,55,Female,29,White,WC2.NP.LINE,White,TA,Yes,0,Foil,60,7.833,No,slightly certain,"He looks like familiar, like one of the faces I saw yesterday",F,No,Yes,slightly certain,"He looks like familiar, like one of the faces I saw yesterday",FALSE,FALSE,2.0583455783851017,0.1583446075251511,"slightly certain He looks like familiar, like one of the faces I saw yesterday"
27,Day,55,Female,29,White,WC3.NP.LINE,White,TA,Yes,0,Foil,80,5.861,No,pretty certain,I remember his darker features,O1,No,Yes,pretty certain,I remember his darker features,FALSE,FALSE,1.7683202374942921,-0.278293871,pretty certain I remember his darker features
27,Day,55,Female,29,White,WD1.P.LINE,White,TP,Yes,1,Target,40,7.288,No,not very certain,"His features seem vaguely familiar, and I think I remember the expression on his face yesterday",?,No,Yes,not very certain,"His features seem vaguely familiar, and I think I remember the expression on his face yesterday",FALSE,FALSE,1.9862291599576571,0.049772014718783245,"not very certain His features seem vaguely familiar, and I think I remember the expression on his face yesterday"
